,index,date,movieCd,audiCnt,scrnCnt,showCnt
140,0,20190115,20184105,111887,1116,4783
141,1,20190115,20176251,92667,1004,3908
142,2,20190115,20189463,36337,827,2279
143,3,20190115,20180290,21064,663,1733
144,4,20190115,20185485,13438,505,950
145,5,20190115,20184574,12316,383,904
146,6,20190115,20183915,11066,557,1210
147,7,20190115,20186324,4417,12,15
148,8,20190115,20166602,3101,14,14
149,9,20190115,20186281,2956,243,335
150,0,20190116,20184105,107579,1015,3993
151,1,20190116,20176251,89952,954,3612
152,2,20190116,20189463,29914,636,1366
153,3,20190116,20186324,18781,612,1470
154,4,20190116,20182588,16169,508,1132
155,5,20190116,20166602,14163,540,1562
156,6,20190116,20180290,13701,438,875
157,7,20190116,20182044,9482,391,627
158,8,20190116,20185485,9316,324,554
159,9,20190116,20184574,7989,190,428
160,0,20190117,20184105,90529,965,3403
161,1,20190117,20176251,75564,862,3022
162,2,20190117,20182544,71816,837,3400
163,3,20190117,20189463,22921,531,997
164,4,20190117,20186324,13756,580,1304
165,5,20190117,20182588,11170,483,978
166,6,20190117,20166602,9636,506,1174
167,7,20190117,20182044,8754,382,565
168,8,20190117,20182530,7746,40,40
169,9,20190117,20185485,6954,241,332
170,0,20190118,20184105,108567,1021,3749
171,1,20190118,20176251,90405,899,3279
172,2,20190118,20182544,64404,817,3360
173,3,20190118,20189463,24286,591,1036
174,4,20190118,20186324,13236,571,1175
175,5,20190118,20182588,10241,489,949
176,6,20190118,20166602,9194,498,1068
177,7,20190118,20185485,8529,272,379
178,8,20190118,20182044,8254,374,541
179,9,20190118,20180290,7576,306,473
180,0,20190119,20184105,259951,1135,4305
181,1,20190119,20176251,195973,992,3775
182,2,20190119,20182544,113258,810,3167
183,3,20190119,20189463,59071,645,1234
184,4,20190119,20186324,30172,608,1143
185,5,20190119,20183915,24858,436,586
186,6,20190119,20182588,19697,490,895
187,7,20190119,20182044,17673,424,626
188,8,20190119,20185485,16174,285,446
189,9,20190119,20180290,15300,298,466
190,0,20190120,20184105,249109,1137,4279
191,1,20190120,20176251,191234,992,3743
192,2,20190120,20182544,89605,792,2931
193,3,20190120,20189463,58241,651,1257
194,4,20190120,20186324,27030,596,1101
195,5,20190120,20183915,24237,460,626
196,6,20190120,20182588,17088,470,827
197,7,20190120,20182044,14804,405,615
198,8,20190120,20185485,14212,291,444
199,9,20190120,20184574,13548,213,374
200,0,20190121,20184105,82069,1046,4038
201,1,20190121,20176251,71568,890,3565
202,2,20190121,20182544,31743,735,2739
203,3,20190121,20189463,16128,553,1060
204,4,20190121,20186324,8256,526,900
205,5,20190121,20185485,7459,304,532
206,6,20190121,20182588,6605,429,777
207,7,20190121,20184574,5876,210,405
208,8,20190121,20166602,5300,447,797
209,9,20190121,20180290,4694,299,447
210,0,20190122,20184105,75518,1081,4012
211,1,20190122,20176251,62309,913,3567
212,2,20190122,20182544,26131,727,2605
213,3,20190122,20189463,17939,568,1071
214,4,20190122,20186324,10965,541,927
215,5,20190122,20185485,8363,324,555
216,6,20190122,20182588,6591,436,753
217,7,20190122,20184574,5632,220,410
218,8,20190122,20166602,5620,440,788
219,9,20190122,20182044,5336,341,461
220,0,20190123,20182530,368582,1553,8463
221,1,20190123,20184105,47177,807,2837
222,2,20190123,20176251,29853,656,2243
223,3,20190123,20189463,12020,400,647
224,4,20190123,20182544,11678,490,1220
225,5,20190123,20186324,5196,297,367
226,6,20190123,20185485,5036,228,342
227,7,20190123,20184574,4499,142,254
228,8,20190123,20189385,4217,295,408
229,9,20190123,20182044,3121,127,140
230,0,20190124,20182530,331924,1658,8797
231,1,20190124,20184105,40419,827,2702
232,2,20190124,20176251,22822,641,2084
233,3,20190124,20189463,12161,388,608
234,4,20190124,20182544,9325,453,1015
235,5,20190124,20185485,5890,218,305
236,6,20190124,20186324,5657,287,346
237,7,20190124,20184896,4442,111,196
238,8,20190124,20180868,3923,13,13
239,9,20190124,20189385,3898,295,395
