,title,content
22,*혈압주의* 옷가게 알바하다가 최악의 변태진상(손놈) ??만난 썰;; 상상초월 의류매장 알바 리뷰ㅣ워크맨 ep.24,옷보고 마음에 안들면 안살수도 있는거지      뜨내기라니         
23,*혈압주의* 옷가게 알바하다가 최악의 변태진상(손놈) ??만난 썰;; 상상초월 의류매장 알바 리뷰ㅣ워크맨 ep.24,"        그냥 장성규님 대하는 것도 별로라고 느껴졌는데 손님을 뜨내기라고 표현하는 거 자체도 별론데; 그냥 워크맨 다른편에 나온 직원들이랑은 다른 느낌인거 확 와닿고,, 댓글에 안좋게 보인다는 의견도 많은 거 보면 확실히 잘하진 않은 것 같은데,,  "
24,*혈압주의* 옷가게 알바하다가 최악의 변태진상(손놈) ??만난 썰;; 상상초월 의류매장 알바 리뷰ㅣ워크맨 ep.24,7:08 매니저 뜨내기 발언
25,*혈압주의* 옷가게 알바하다가 최악의 변태진상(손놈) ??만난 썰;; 상상초월 의류매장 알바 리뷰ㅣ워크맨 ep.24,"정보) 내셔널지오그래픽, 디스커버리는 그냥 이름만 빌려온 무근본 브랜드니 알아서 거르자"
26,*혈압주의* 옷가게 알바하다가 최악의 변태진상(손놈) ??만난 썰;; 상상초월 의류매장 알바 리뷰ㅣ워크맨 ep.24,아 옷가게 직원들이 입는 옷은 유니폼처럼 그냥 주는 줄 알았는데 자기 돈으로 사는거였구나....
27,*혈압주의* 옷가게 알바하다가 최악의 변태진상(손놈) ??만난 썰;; 상상초월 의류매장 알바 리뷰ㅣ워크맨 ep.24,"   뜨내기         
이제는 구경도 못하겠넹"
28,*혈압주의* 옷가게 알바하다가 최악의 변태진상(손놈) ??만난 썰;; 상상초월 의류매장 알바 리뷰ㅣ워크맨 ep.24,옷을 매일 고정적으로 사나     뜨내기라니     진짜 표현하고는    
29,*혈압주의* 옷가게 알바하다가 최악의 변태진상(손놈) ??만난 썰;; 상상초월 의류매장 알바 리뷰ㅣ워크맨 ep.24,엥 이제 옷구경도 못하겠네;;말 진짜 싹퉁없게 한다
30,*혈압주의* 옷가게 알바하다가 최악의 변태진상(손놈) ??만난 썰;; 상상초월 의류매장 알바 리뷰ㅣ워크맨 ep.24,"눈팅도 해야
나중에 사죠.
눈팅소비자가 후에 구매자가됩니다~"
31,*혈압주의* 옷가게 알바하다가 최악의 변태진상(손놈) ??만난 썰;; 상상초월 의류매장 알바 리뷰ㅣ워크맨 ep.24,직원 성격 존나 안좋아보이네     
32,*혈압주의* 옷가게 알바하다가 최악의 변태진상(손놈) ??만난 썰;; 상상초월 의류매장 알바 리뷰ㅣ워크맨 ep.24,"영상본것중에... 참 더티했던 매장... 및 뒷담화   옷만보고 나가면 뒷말 오지구나... 이제알았음    
지들은 매장 들어가는족족 다 사나보네    "
33,*혈압주의* 옷가게 알바하다가 최악의 변태진상(손놈) ??만난 썰;; 상상초월 의류매장 알바 리뷰ㅣ워크맨 ep.24,부랴부랴 내셔널지오그래피 알바들이 댓글에서 진화작업은 하고 있느데 이 영상을 마지막으로 내셔널지오그래피는 영원히                 
34,*혈압주의* 옷가게 알바하다가 최악의 변태진상(손놈) ??만난 썰;; 상상초월 의류매장 알바 리뷰ㅣ워크맨 ep.24,코엑스 내셔널 지오그래픽은 걸러야겠네      매니저도 뜨내기라고 하고       
35,*혈압주의* 옷가게 알바하다가 최악의 변태진상(손놈) ??만난 썰;; 상상초월 의류매장 알바 리뷰ㅣ워크맨 ep.24,인간적으로 옷이나 신발은 무상제공을 해주던가 하지. 아무리 직원할인이라지만 좀 그른네.
36,*혈압주의* 옷가게 알바하다가 최악의 변태진상(손놈) ??만난 썰;; 상상초월 의류매장 알바 리뷰ㅣ워크맨 ep.24,뜨내기던 뭐던 자기네들끼리 하는말은 뭐라 말리지 못하고 그럴 권한도 없지만 저렇게 대놓고 말하고 하는건 ..;;   
37,*혈압주의* 옷가게 알바하다가 최악의 변태진상(손놈) ??만난 썰;; 상상초월 의류매장 알바 리뷰ㅣ워크맨 ep.24,이야 앞으로 옷은 직접 보러가는 것도 못하겠다;; 눈치보여서 어케가노...
38,*혈압주의* 옷가게 알바하다가 최악의 변태진상(손놈) ??만난 썰;; 상상초월 의류매장 알바 리뷰ㅣ워크맨 ep.24,저 지점은 주말에 가면 매니저한테 뒤에서 뜨내기 소리 듣는구나     안가야지           
39,*혈압주의* 옷가게 알바하다가 최악의 변태진상(손놈) ??만난 썰;; 상상초월 의류매장 알바 리뷰ㅣ워크맨 ep.24,"덕분에 내셔널지오그래픽 제품 안살듯      워크맨 감사합니다 
뜨내기라뇨...   "
40,*혈압주의* 옷가게 알바하다가 최악의 변태진상(손놈) ??만난 썰;; 상상초월 의류매장 알바 리뷰ㅣ워크맨 ep.24,업체가 제일 진상이네. 알바한테 옷 강매가 뭐냐?
41,*혈압주의* 옷가게 알바하다가 최악의 변태진상(손놈) ??만난 썰;; 상상초월 의류매장 알바 리뷰ㅣ워크맨 ep.24,이거 미국사람이 저옷보면 그냥 동물의왕국이나 동물농장 브랜드로 보는거아님?
42,*혈압주의* 옷가게 알바하다가 최악의 변태진상(손놈) ??만난 썰;; 상상초월 의류매장 알바 리뷰ㅣ워크맨 ep.24,"한두푼하는것도 아니고 내 돈 쓰는건데 천천히 둘러보고 비교할 수 있는거지 굳이 뜨내기라고 표현하네,,"
43,*혈압주의* 옷가게 알바하다가 최악의 변태진상(손놈) ??만난 썰;; 상상초월 의류매장 알바 리뷰ㅣ워크맨 ep.24,남들 뜨내기 취급하면 본인도 어디 가나 뜨내기 되는거지   
44,*혈압주의* 옷가게 알바하다가 최악의 변태진상(손놈) ??만난 썰;; 상상초월 의류매장 알바 리뷰ㅣ워크맨 ep.24,"뭔 직원한테까지 영업을 하려고 하냐?
얼마나 된다고 그냥 유니폼 하나 주면 되지."
45,*혈압주의* 옷가게 알바하다가 최악의 변태진상(손놈) ??만난 썰;; 상상초월 의류매장 알바 리뷰ㅣ워크맨 ep.24,"한도초과 손님 정말 개웃김         
변태손님은 정말......  저런 놈들도 있구나 싶네..."
46,*혈압주의* 옷가게 알바하다가 최악의 변태진상(손놈) ??만난 썰;; 상상초월 의류매장 알바 리뷰ㅣ워크맨 ep.24,뜨내기래..       저긴 안 가야징..
47,*혈압주의* 옷가게 알바하다가 최악의 변태진상(손놈) ??만난 썰;; 상상초월 의류매장 알바 리뷰ㅣ워크맨 ep.24,옷가계 관계자들      해서 댓글쓰러 댕기는거 개웃기네      
48,*혈압주의* 옷가게 알바하다가 최악의 변태진상(손놈) ??만난 썰;; 상상초월 의류매장 알바 리뷰ㅣ워크맨 ep.24,뜨내기란 말이 문제가 아니라 주말이 제일 힘드냐는 말에 뜨내기가 많다고 한 게 문제인듯; 뜨내기가 무슨 폐를 끼쳐서 뜨내기가 많아서 힘들다고 하시는 걸까..
49,*혈압주의* 옷가게 알바하다가 최악의 변태진상(손놈) ??만난 썰;; 상상초월 의류매장 알바 리뷰ㅣ워크맨 ep.24,4년빡에안된 국내기업이구만 브랜드만보고 속았네 한국사람들 유명한거 겁나 좋아해... 옷가격은 겁나 비싸네
50,*혈압주의* 옷가게 알바하다가 최악의 변태진상(손놈) ??만난 썰;; 상상초월 의류매장 알바 리뷰ㅣ워크맨 ep.24,티는 여기꺼 입는거 백번 양보해서 이해되는데 뭔 신발까지 사서 신으래
51,*혈압주의* 옷가게 알바하다가 최악의 변태진상(손놈) ??만난 썰;; 상상초월 의류매장 알바 리뷰ㅣ워크맨 ep.24,내가 내셔널 본사에 직원관리 담당이었으면 저 사람들 진짜 엄청 많이 혼냈었을거 같음.. 그것도 영상에서 저렇게 말하면 안되지..   오랜 경력으로 일하신거 같은데 왜 저러셨대.. 근데 이거 본사에서 확인했었을텐데 누가 오케이 하고 허락해준거야. 오케이한 직원이 엑스맨 같은데?  
52,*혈압주의* 옷가게 알바하다가 최악의 변태진상(손놈) ??만난 썰;; 상상초월 의류매장 알바 리뷰ㅣ워크맨 ep.24,주말에 뜨내기       뭔생각이냐 진짜     
53,*혈압주의* 옷가게 알바하다가 최악의 변태진상(손놈) ??만난 썰;; 상상초월 의류매장 알바 리뷰ㅣ워크맨 ep.24,동탄 엔터식스 뉴발은 직원할인없이 하나는 사야했음  
54,*혈압주의* 옷가게 알바하다가 최악의 변태진상(손놈) ??만난 썰;; 상상초월 의류매장 알바 리뷰ㅣ워크맨 ep.24,뜨내기     그럼 입어보면 무조건 사야 되냐         
55,*혈압주의* 옷가게 알바하다가 최악의 변태진상(손놈) ??만난 썰;; 상상초월 의류매장 알바 리뷰ㅣ워크맨 ep.24,"직원은 옷좀 주자 좀    군인한테
군복 사입으라면 군인 하겠냐"
56,*혈압주의* 옷가게 알바하다가 최악의 변태진상(손놈) ??만난 썰;; 상상초월 의류매장 알바 리뷰ㅣ워크맨 ep.24,이 영상이 더 논란이 돼서 이건 좀 바뀌어야 할 부분이라고 생각됩니다
57,*혈압주의* 옷가게 알바하다가 최악의 변태진상(손놈) ??만난 썰;; 상상초월 의류매장 알바 리뷰ㅣ워크맨 ep.24,이번 편은 손님들이 살리네      
58,*혈압주의* 옷가게 알바하다가 최악의 변태진상(손놈) ??만난 썰;; 상상초월 의류매장 알바 리뷰ㅣ워크맨 ep.24,* 혈압주의 * 써놓은 이유가 있었넼      
59,*혈압주의* 옷가게 알바하다가 최악의 변태진상(손놈) ??만난 썰;; 상상초월 의류매장 알바 리뷰ㅣ워크맨 ep.24,"장성규님 콜센터 상담원 한번만 해주시면 안될까요?  
진상들  말로 다 발라주세요        "
60,*혈압주의* 옷가게 알바하다가 최악의 변태진상(손놈) ??만난 썰;; 상상초월 의류매장 알바 리뷰ㅣ워크맨 ep.24,한도초과손님 개웃곀                                   
61,*혈압주의* 옷가게 알바하다가 최악의 변태진상(손놈) ??만난 썰;; 상상초월 의류매장 알바 리뷰ㅣ워크맨 ep.24,   옷이마음에들어도 판매사원이 맘에안들면 안삼
62,*혈압주의* 옷가게 알바하다가 최악의 변태진상(손놈) ??만난 썰;; 상상초월 의류매장 알바 리뷰ㅣ워크맨 ep.24,뜨내기      수준이 보인다
63,*혈압주의* 옷가게 알바하다가 최악의 변태진상(손놈) ??만난 썰;; 상상초월 의류매장 알바 리뷰ㅣ워크맨 ep.24,네지오 거르라는 워크맨의 빅픽쳐인가                  접수~~
64,*혈압주의* 옷가게 알바하다가 최악의 변태진상(손놈) ??만난 썰;; 상상초월 의류매장 알바 리뷰ㅣ워크맨 ep.24,뜨내기? 코엑스는 사람 인상 안보고 뽑나보지?
65,*혈압주의* 옷가게 알바하다가 최악의 변태진상(손놈) ??만난 썰;; 상상초월 의류매장 알바 리뷰ㅣ워크맨 ep.24,"와 저걸 다 사서 입어야되는거였어;;; 
너무하네.."
66,*혈압주의* 옷가게 알바하다가 최악의 변태진상(손놈) ??만난 썰;; 상상초월 의류매장 알바 리뷰ㅣ워크맨 ep.24,"여기 직원들이 왜케 띠껍냐? 졸라 사기 싫음
뭔 서비스를 저딴식으로 함"
67,*혈압주의* 옷가게 알바하다가 최악의 변태진상(손놈) ??만난 썰;; 상상초월 의류매장 알바 리뷰ㅣ워크맨 ep.24,외국으로 치면 가슴팍에 'KBS동물의 왕국' 써있는건데 저걸 왜 사냐 대체
68,*혈압주의* 옷가게 알바하다가 최악의 변태진상(손놈) ??만난 썰;; 상상초월 의류매장 알바 리뷰ㅣ워크맨 ep.24,디스는 해도 되는데 커버리는 안된댘    
69,*혈압주의* 옷가게 알바하다가 최악의 변태진상(손놈) ??만난 썰;; 상상초월 의류매장 알바 리뷰ㅣ워크맨 ep.24,"직원들 언어선택 무엇,, 뜨내기라니   ,,"
70,*혈압주의* 옷가게 알바하다가 최악의 변태진상(손놈) ??만난 썰;; 상상초월 의류매장 알바 리뷰ㅣ워크맨 ep.24,일할때 입는옷은 회사에서 지급해야지~~~ 일반회사들 다그러는데 옷을 판다는 옷가게들이 왜 이지랄임.
71,*혈압주의* 옷가게 알바하다가 최악의 변태진상(손놈) ??만난 썰;; 상상초월 의류매장 알바 리뷰ㅣ워크맨 ep.24,    직원한테 강매라니     배보다 배꼽이 더크네         미쳤다   
72,*혈압주의* 옷가게 알바하다가 최악의 변태진상(손놈) ??만난 썰;; 상상초월 의류매장 알바 리뷰ㅣ워크맨 ep.24,강매가 아니라지만 자기옷입고 일하겠다고 하면 매니저가 뜨내기가 일하러왔네.. 할듯
73,*혈압주의* 옷가게 알바하다가 최악의 변태진상(손놈) ??만난 썰;; 상상초월 의류매장 알바 리뷰ㅣ워크맨 ep.24,저 브랜드자체가 저 알바들이 칭하는 소위 뜨내기들이 아니면 누가 가. 가성비   브랜드를 매출에도움될만큼 자주 많이 살 가치가 있음?  
